"yq","hist_value","lo90","lo66","median","up66","up90"
2015 Q1,18666.621,NA,NA,NA,NA,NA
2015 Q2,18782.243,NA,NA,NA,NA,NA
2015 Q3,18857.418,NA,NA,NA,NA,NA
2015 Q4,18892.206,NA,NA,NA,NA,NA
2016 Q1,19001.69,NA,NA,NA,NA,NA
2016 Q2,19062.709,NA,NA,NA,NA,NA
2016 Q3,19197.938,NA,NA,NA,NA,NA
2016 Q4,19304.352,NA,NA,NA,NA,NA
2017 Q1,19398.343,NA,NA,NA,NA,NA
2017 Q2,19506.949,NA,NA,NA,NA,NA
2017 Q3,19660.766,NA,NA,NA,NA,NA
2017 Q4,19882.352,NA,NA,NA,NA,NA
2018 Q1,20044.077,NA,NA,NA,NA,NA
2018 Q2,20150.476,NA,NA,NA,NA,NA
2018 Q3,20276.154,NA,NA,NA,NA,NA
2018 Q4,20304.874,NA,NA,NA,NA,NA
2019 Q1,20431.641,NA,NA,NA,NA,NA
2019 Q2,20602.275,NA,NA,NA,NA,NA
2019 Q3,20843.322,NA,NA,NA,NA,NA
2019 Q4,20985.448,NA,NA,NA,NA,NA
2020 Q1,20693.238,NA,NA,NA,NA,NA
2020 Q2,19056.617,NA,NA,NA,NA,NA
2020 Q3,20548.793,NA,NA,NA,NA,NA
2020 Q4,20771.691,NA,NA,NA,NA,NA
2021 Q1,21058.379,NA,NA,NA,NA,NA
2021 Q2,21389.005,NA,NA,NA,NA,NA
2021 Q3,21571.421,NA,NA,NA,NA,NA
2021 Q4,21960.388,NA,NA,NA,NA,NA
2022 Q1,21903.85,NA,NA,NA,NA,NA
2022 Q2,21919.222,NA,NA,NA,NA,NA
2022 Q3,22066.784,NA,NA,NA,NA,NA
2022 Q4,22249.459,NA,NA,NA,NA,NA
2023 Q1,22403.435,NA,NA,NA,NA,NA
2023 Q2,22539.418,NA,NA,NA,NA,NA
2023 Q3,22780.933,NA,NA,NA,NA,NA
2023 Q4,22960.6,NA,NA,NA,NA,NA
2024 Q1,23053.545,NA,NA,NA,NA,NA
2024 Q2,23223.906,NA,NA,NA,NA,NA
2024 Q3,23400.294,NA,NA,NA,NA,NA
2024 Q4,23530.909,NA,NA,NA,NA,NA
2025 Q1,NA,23332.4189598731,23475.2245781828,23691.7234516677,23886.9181319781,24027.9356049321
2025 Q2,NA,23423.2134092531,23579.3072601595,23845.1379112475,24094.939762711,24275.2552210867
2025 Q3,NA,23500.3810668284,23701.7856786895,23983.50832287,24259.8393371793,24499.0382776846
2025 Q4,NA,23534.305094034,23774.0719630288,24105.3924617104,24459.6687163573,24709.3282251469
2026 Q1,NA,23580.6765750838,23864.8494827854,24260.9444085411,24618.9844706198,24930.2532766413
2026 Q2,NA,23629.2089938146,23993.1411531075,24411.9586450949,24837.3473085487,25156.3345331379
2026 Q3,NA,23783.7991183489,24083.4208116665,24592.1898804088,25034.8356119522,25413.7241908062
2026 Q4,NA,23815.3169668642,24233.2697609466,24750.3313114953,25275.9445682626,25709.1999724934
2027 Q1,NA,23921.1712496255,24337.1917325272,24919.4944196677,25467.0563138409,25894.9809729623
2027 Q2,NA,23981.1792603695,24428.2586467256,25085.0351696977,25673.8520750285,26163.8892739687
2027 Q3,NA,24072.0793867283,24531.5633564817,25235.5966362857,25868.5012926752,26427.5444289085
2027 Q4,NA,24080.9010059193,24628.8030252746,25332.9033957821,26059.4183894952,26686.0332433653
