"yq","hist_value","lo90","lo66","median","up66","up90"
2015 Q1,18666.621,NA,NA,NA,NA,NA
2015 Q2,18782.243,NA,NA,NA,NA,NA
2015 Q3,18857.418,NA,NA,NA,NA,NA
2015 Q4,18892.206,NA,NA,NA,NA,NA
2016 Q1,19001.69,NA,NA,NA,NA,NA
2016 Q2,19062.709,NA,NA,NA,NA,NA
2016 Q3,19197.938,NA,NA,NA,NA,NA
2016 Q4,19304.352,NA,NA,NA,NA,NA
2017 Q1,19398.343,NA,NA,NA,NA,NA
2017 Q2,19506.949,NA,NA,NA,NA,NA
2017 Q3,19660.766,NA,NA,NA,NA,NA
2017 Q4,19882.352,NA,NA,NA,NA,NA
2018 Q1,20044.077,NA,NA,NA,NA,NA
2018 Q2,20150.476,NA,NA,NA,NA,NA
2018 Q3,20276.154,NA,NA,NA,NA,NA
2018 Q4,20304.874,NA,NA,NA,NA,NA
2019 Q1,20431.641,NA,NA,NA,NA,NA
2019 Q2,20602.275,NA,NA,NA,NA,NA
2019 Q3,20843.322,NA,NA,NA,NA,NA
2019 Q4,20985.448,NA,NA,NA,NA,NA
2020 Q1,20693.238,NA,NA,NA,NA,NA
2020 Q2,19056.617,NA,NA,NA,NA,NA
2020 Q3,20548.793,NA,NA,NA,NA,NA
2020 Q4,20771.691,NA,NA,NA,NA,NA
2021 Q1,21058.379,NA,NA,NA,NA,NA
2021 Q2,21389.005,NA,NA,NA,NA,NA
2021 Q3,21571.421,NA,NA,NA,NA,NA
2021 Q4,21960.388,NA,NA,NA,NA,NA
2022 Q1,21903.85,NA,NA,NA,NA,NA
2022 Q2,21919.222,NA,NA,NA,NA,NA
2022 Q3,22066.784,NA,NA,NA,NA,NA
2022 Q4,22249.459,NA,NA,NA,NA,NA
2023 Q1,22403.435,NA,NA,NA,NA,NA
2023 Q2,22539.418,NA,NA,NA,NA,NA
2023 Q3,22780.933,NA,NA,NA,NA,NA
2023 Q4,22960.6,NA,NA,NA,NA,NA
2024 Q1,23053.545,NA,NA,NA,NA,NA
2024 Q2,23223.906,NA,NA,NA,NA,NA
2024 Q3,23400.294,NA,NA,NA,NA,NA
2024 Q4,23530.909,NA,NA,NA,NA,NA
2025 Q1,NA,23348.1128894131,23502.0479514848,23701.4194800337,23908.3096497588,24055.5866314886
2025 Q2,NA,23525.517050274,23714.5159454258,23995.1349367429,24300.4898928802,24500.532587627
2025 Q3,NA,23257.5504216144,23536.853937344,23884.5081669688,24241.8965884611,24503.0343576228
2025 Q4,NA,23107.2435245967,23411.2141792907,23819.3640485209,24225.9684449907,24543.2382957961
2026 Q1,NA,23013.8002223383,23325.4721135275,23743.5064857743,24199.9288590783,24577.7572738446
2026 Q2,NA,23275.5996662415,23606.9390924677,24096.9632842527,24615.9008950672,25015.2825787522
2026 Q3,NA,23375.4037438604,23726.9304419372,24298.5266648655,24861.1507389143,25263.7710999699
2026 Q4,NA,23400.9066356303,23829.8036453223,24447.0813243845,25036.2832385558,25507.5987696979
2027 Q1,NA,23470.1194262257,23942.2892368307,24605.9790679122,25246.8937059321,25764.5620152196
2027 Q2,NA,23576.6827743023,24086.3857627823,24742.9770695594,25483.5343791691,26031.3691417983
2027 Q3,NA,23636.1750735541,24166.570997184,24899.1715124381,25671.7136644281,26307.6035492515
2027 Q4,NA,23703.6422311243,24201.6315878105,25030.4054556435,25879.3692780541,26561.1033656762
