yq,hist,lo90,lo66,med,up66,up90
2015 Q1,18666.621000000014,NA,NA,NA,NA,NA
2015 Q2,18782.243000000013,NA,NA,NA,NA,NA
2015 Q3,18857.418000000016,NA,NA,NA,NA,NA
2015 Q4,18892.206000000013,NA,NA,NA,NA,NA
2016 Q1,19001.690000000006,NA,NA,NA,NA,NA
2016 Q2,19062.708999999984,NA,NA,NA,NA,NA
2016 Q3,19197.93799999999,NA,NA,NA,NA,NA
2016 Q4,19304.351999999988,NA,NA,NA,NA,NA
2017 Q1,19398.342999999986,NA,NA,NA,NA,NA
2017 Q2,19506.948999999997,NA,NA,NA,NA,NA
2017 Q3,19660.766000000003,NA,NA,NA,NA,NA
2017 Q4,19882.352,NA,NA,NA,NA,NA
2018 Q1,20044.07700000001,NA,NA,NA,NA,NA
2018 Q2,20150.476000000002,NA,NA,NA,NA,NA
2018 Q3,20276.15400000001,NA,NA,NA,NA,NA
2018 Q4,20304.87399999999,NA,NA,NA,NA,NA
2019 Q1,20431.640999999996,NA,NA,NA,NA,NA
2019 Q2,20602.274999999994,NA,NA,NA,NA,NA
2019 Q3,20843.322000000004,NA,NA,NA,NA,NA
2019 Q4,20985.448000000008,NA,NA,NA,NA,NA
2020 Q1,20693.238000000012,NA,NA,NA,NA,NA
2020 Q2,19056.617000000006,NA,NA,NA,NA,NA
2020 Q3,20548.793000000005,NA,NA,NA,NA,NA
2020 Q4,20771.691000000003,NA,NA,NA,NA,NA
2021 Q1,21058.378999999994,NA,NA,NA,NA,NA
2021 Q2,21389.00500000001,NA,NA,NA,NA,NA
2021 Q3,21571.421000000017,NA,NA,NA,NA,NA
2021 Q4,21960.388000000014,NA,NA,NA,NA,NA
2022 Q1,21903.850000000017,NA,NA,NA,NA,NA
2022 Q2,21919.22200000002,NA,NA,NA,NA,NA
2022 Q3,22066.784000000007,NA,NA,NA,NA,NA
2022 Q4,22249.459,NA,NA,NA,NA,NA
2023 Q1,22403.434999999983,NA,NA,NA,NA,NA
2023 Q2,22539.418000000016,NA,NA,NA,NA,NA
2023 Q3,22780.933000000005,NA,NA,NA,NA,NA
2023 Q4,22960.59999999998,NA,NA,NA,NA,NA
2024 Q1,23053.545000000006,NA,NA,NA,NA,NA
2024 Q2,23223.906,NA,NA,NA,NA,NA
2024 Q3,23400.29400000002,NA,NA,NA,NA,NA
2024 Q4,23542.348999999995,NA,NA,NA,NA,NA
2025 Q1,23512.71700000002,NA,NA,NA,NA,NA
2025 Q2,NA,23122.923397054165,23279.381683345513,23489.235705509676,23683.3035628445,23848.392891882664
2025 Q3,NA,23062.232180958592,23220.785192650113,23478.70909524378,23751.730128801995,23945.64992547891
2025 Q4,NA,23025.456467741133,23229.47794634887,23532.0787088337,23833.63143336629,24064.108940227892
2026 Q1,NA,23002.46256318685,23271.519353329993,23600.5821158584,23938.90480886384,24174.839238089186
2026 Q2,NA,22987.897751744964,23248.528952058667,23664.996414392197,24035.188955835692,24344.52681689178
2026 Q3,NA,23000.648992948674,23268.87257144634,23725.806467969967,24159.54670952291,24471.01278349603
